CUSIP,SECURITY_ID,TICKER,SECURITY_NAME,ISIN,INDUSTRY_CODE,INDUSTRY_DESC,SECTOR_CODE,SECTOR_DESC,COUNTRY_CODE,COUNTRY_DESC,ASSET_CLASS_CODE,ASSET_CLASS_DESC,CURRENCY_CODE,CURRENCY_DESC
00000002A,S002,S002,Synthetic Security S002,US0000000002,PHAR,Pharmaceuticals,HLTH,Health Care,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000003A,S003,S003,Synthetic Security S003,US0000000003,MEDD,Medical Devices,HLTH,Health Care,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000004A,S004,S004,Synthetic Security S004,US0000000004,BANK,Banks,FIN,Financials,DE,Germany,EQ,Equity,EUR,Euro
00000005A,S005,S005,Synthetic Security S005,US0000000005,INSR,Insurance,FIN,Financials,FR,France,EQ,Equity,EUR,Euro
00000006A,L001,L001,Synthetic Security L001,US0000000006,RETL,Retail,CONS,Consumer,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000007A,L002,L002,Synthetic Security L002,US0000000007,AUTO,Automotive,CONS,Consumer,US,United States,EQ,Equity,USD,US Dollar
00000008A,L003,L003,Synthetic Security L003,US0000000008,MACH,Machinery,INDU,Industrials,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000009A,L004,L004,Synthetic Security L004,US0000000009,TRAN,Transportation,INDU,Industrials,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000010A,L005,L005,Synthetic Security L005,US0000000010,OILG,Oil & Gas,ENER,Energy,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000011A,L006,L006,Synthetic Security L006,US0000000011,POWR,Power Producers,UTIL,Utilities,DE,Germany,EQ,Equity,EUR,Euro
00000012A,L007,L007,Synthetic Security L007,US0000000012,SOFT,Software,TECH,Technology,FR,France,EQ,Equity,EUR,Euro
00000013A,L008,L008,Synthetic Security L008,US0000000013,SEMI,Semiconductors,TECH,Technology,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000014A,L009,L009,Synthetic Security L009,US0000000014,PHAR,Pharmaceuticals,HLTH,Health Care,US,United States,EQ,Equity,USD,US Dollar
00000015A,L010,L010,Synthetic Security L010,US0000000015,MEDD,Medical Devices,HLTH,Health Care,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000016A,L011,L011,Synthetic Security L011,US0000000016,BANK,Banks,FIN,Financials,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000017A,L012,L012,Synthetic Security L012,US0000000017,INSR,Insurance,FIN,Financials,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000018A,L013,L013,Synthetic Security L013,US0000000018,RETL,Retail,CONS,Consumer,DE,Germany,EQ,Equity,EUR,Euro
00000019A,L014,L014,Synthetic Security L014,US0000000019,AUTO,Automotive,CONS,Consumer,FR,France,EQ,Equity,EUR,Euro
00000020A,L015,L015,Synthetic Security L015,US0000000020,MACH,Machinery,INDU,Industrials,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000021A,L016,L016,Synthetic Security L016,US0000000021,TRAN,Transportation,INDU,Industrials,US,United States,EQ,Equity,USD,US Dollar
00000022A,L017,L017,Synthetic Security L017,US0000000022,OILG,Oil & Gas,ENER,Energy,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000023A,L018,L018,Synthetic Security L018,US0000000023,POWR,Power Producers,UTIL,Utilities,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000024A,L019,L019,Synthetic Security L019,US0000000024,SOFT,Software,TECH,Technology,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000025A,L020,L020,Synthetic Security L020,US0000000025,SEMI,Semiconductors,TECH,Technology,DE,Germany,ETF,Exchange Traded Fund,EUR,Euro
00000026A,L021,L021,Synthetic Security L021,US0000000026,PHAR,Pharmaceuticals,HLTH,Health Care,FR,France,EQ,Equity,EUR,Euro
00000027A,L022,L022,Synthetic Security L022,US0000000027,MEDD,Medical Devices,HLTH,Health Care,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000028A,L023,L023,Synthetic Security L023,US0000000028,BANK,Banks,FIN,Financials,US,United States,EQ,Equity,USD,US Dollar
00000029A,L024,L024,Synthetic Security L024,US0000000029,INSR,Insurance,FIN,Financials,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000030A,L025,L025,Synthetic Security L025,US0000000030,RETL,Retail,CONS,Consumer,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000031A,L026,L026,Synthetic Security L026,US0000000031,AUTO,Automotive,CONS,Consumer,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000032A,L027,L027,Synthetic Security L027,US0000000032,MACH,Machinery,INDU,Industrials,DE,Germany,EQ,Equity,EUR,Euro
00000033A,L028,L028,Synthetic Security L028,US0000000033,TRAN,Transportation,INDU,Industrials,FR,France,EQ,Equity,EUR,Euro
00000034A,L029,L029,Synthetic Security L029,US0000000034,OILG,Oil & Gas,ENER,Energy,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000035A,L030,L030,Synthetic Security L030,US0000000035,POWR,Power Producers,UTIL,Utilities,US,United States,EQ,Equity,USD,US Dollar
00000036A,L031,L031,Synthetic Security L031,US0000000036,SOFT,Software,TECH,Technology,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000037A,L032,L032,Synthetic Security L032,US0000000037,SEMI,Semiconductors,TECH,Technology,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000038A,L033,L033,Synthetic Security L033,US0000000038,PHAR,Pharmaceuticals,HLTH,Health Care,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000039A,L034,L034,Synthetic Security L034,US0000000039,MEDD,Medical Devices,HLTH,Health Care,DE,Germany,EQ,Equity,EUR,Euro
00000040A,L035,L035,Synthetic Security L035,US0000000040,BANK,Banks,FIN,Financials,FR,France,FI,Fixed Income,EUR,Euro
00000041A,L036,L036,Synthetic Security L036,US0000000041,INSR,Insurance,FIN,Financials,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000042A,L037,L037,Synthetic Security L037,US0000000042,RETL,Retail,CONS,Consumer,US,United States,EQ,Equity,USD,US Dollar
00000043A,L038,L038,Synthetic Security L038,US0000000043,AUTO,Automotive,CONS,Consumer,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000044A,L039,L039,Synthetic Security L039,US0000000044,MACH,Machinery,INDU,Industrials,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000045A,L040,L040,Synthetic Security L040,US0000000045,TRAN,Transportation,INDU,Industrials,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000046A,L041,L041,Synthetic Security L041,US0000000046,OILG,Oil & Gas,ENER,Energy,DE,Germany,EQ,Equity,EUR,Euro
00000047A,L042,L042,Synthetic Security L042,US0000000047,POWR,Power Producers,UTIL,Utilities,FR,France,EQ,Equity,EUR,Euro
00000048A,L043,L043,Synthetic Security L043,US0000000048,SOFT,Software,TECH,Technology,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000049A,L044,L044,Synthetic Security L044,US0000000049,SEMI,Semiconductors,TECH,Technology,US,United States,EQ,Equity,USD,US Dollar
00000050A,L045,L045,Synthetic Security L045,US0000000050,PHAR,Pharmaceuticals,HLTH,Health Care,CA,Canada,ETF,Exchange Traded Fund,CAD,Canadian Dollar
00000051A,L046,L046,Synthetic Security L046,US0000000051,MEDD,Medical Devices,HLTH,Health Care,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000052A,L047,L047,Synthetic Security L047,US0000000052,BANK,Banks,FIN,Financials,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000053A,L048,L048,Synthetic Security L048,US0000000053,INSR,Insurance,FIN,Financials,DE,Germany,EQ,Equity,EUR,Euro
00000054A,L049,L049,Synthetic Security L049,US0000000054,RETL,Retail,CONS,Consumer,FR,France,EQ,Equity,EUR,Euro
00000055A,L050,L050,Synthetic Security L050,US0000000055,AUTO,Automotive,CONS,Consumer,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000056A,L051,L051,Synthetic Security L051,US0000000056,MACH,Machinery,INDU,Industrials,US,United States,EQ,Equity,USD,US Dollar
00000057A,L052,L052,Synthetic Security L052,US0000000057,TRAN,Transportation,INDU,Industrials,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000058A,L053,L053,Synthetic Security L053,US0000000058,OILG,Oil & Gas,ENER,Energy,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000059A,L054,L054,Synthetic Security L054,US0000000059,POWR,Power Producers,UTIL,Utilities,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000060A,L055,L055,Synthetic Security L055,US0000000060,SOFT,Software,TECH,Technology,DE,Germany,CASH,Cash & Cash Equivalents,EUR,Euro
00000061A,L056,L056,Synthetic Security L056,US0000000061,SEMI,Semiconductors,TECH,Technology,FR,France,EQ,Equity,EUR,Euro
00000062A,L057,L057,Synthetic Security L057,US0000000062,PHAR,Pharmaceuticals,HLTH,Health Care,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000063A,L058,L058,Synthetic Security L058,US0000000063,MEDD,Medical Devices,HLTH,Health Care,US,United States,EQ,Equity,USD,US Dollar
00000064A,L059,L059,Synthetic Security L059,US0000000064,BANK,Banks,FIN,Financials,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000065A,L060,L060,Synthetic Security L060,US0000000065,INSR,Insurance,FIN,Financials,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000066A,L061,L061,Synthetic Security L061,US0000000066,RETL,Retail,CONS,Consumer,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000067A,L062,L062,Synthetic Security L062,US0000000067,AUTO,Automotive,CONS,Consumer,DE,Germany,EQ,Equity,EUR,Euro
00000068A,L063,L063,Synthetic Security L063,US0000000068,MACH,Machinery,INDU,Industrials,FR,France,EQ,Equity,EUR,Euro
00000069A,L064,L064,Synthetic Security L064,US0000000069,TRAN,Transportation,INDU,Industrials,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000070A,L065,L065,Synthetic Security L065,US0000000070,OILG,Oil & Gas,ENER,Energy,US,United States,EQ,Equity,USD,US Dollar
00000071A,L066,L066,Synthetic Security L066,US0000000071,POWR,Power Producers,UTIL,Utilities,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000072A,L067,L067,Synthetic Security L067,US0000000072,SOFT,Software,TECH,Technology,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000073A,L068,L068,Synthetic Security L068,US0000000073,SEMI,Semiconductors,TECH,Technology,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000074A,L069,L069,Synthetic Security L069,US0000000074,PHAR,Pharmaceuticals,HLTH,Health Care,DE,Germany,EQ,Equity,EUR,Euro
00000075A,L070,L070,Synthetic Security L070,US0000000075,MEDD,Medical Devices,HLTH,Health Care,FR,France,ETF,Exchange Traded Fund,EUR,Euro
00000076A,L071,L071,Synthetic Security L071,US0000000076,BANK,Banks,FIN,Financials,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000077A,L072,L072,Synthetic Security L072,US0000000077,INSR,Insurance,FIN,Financials,US,United States,EQ,Equity,USD,US Dollar
00000078A,L073,L073,Synthetic Security L073,US0000000078,RETL,Retail,CONS,Consumer,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000079A,L074,L074,Synthetic Security L074,US0000000079,AUTO,Automotive,CONS,Consumer,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000080A,L075,L075,Synthetic Security L075,US0000000080,MACH,Machinery,INDU,Industrials,JP,Japan,FI,Fixed Income,JPY,Japanese Yen
00000081A,L076,L076,Synthetic Security L076,US0000000081,TRAN,Transportation,INDU,Industrials,DE,Germany,EQ,Equity,EUR,Euro
00000082A,L077,L077,Synthetic Security L077,US0000000082,OILG,Oil & Gas,ENER,Energy,FR,France,EQ,Equity,EUR,Euro
00000083A,L078,L078,Synthetic Security L078,US0000000083,POWR,Power Producers,UTIL,Utilities,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000084A,L079,L079,Synthetic Security L079,US0000000084,SOFT,Software,TECH,Technology,US,United States,EQ,Equity,USD,US Dollar
00000085A,L080,L080,Synthetic Security L080,US0000000085,SEMI,Semiconductors,TECH,Technology,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000086A,L081,L081,Synthetic Security L081,US0000000086,PHAR,Pharmaceuticals,HLTH,Health Care,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000087A,L082,L082,Synthetic Security L082,US0000000087,MEDD,Medical Devices,HLTH,Health Care,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000088A,L083,L083,Synthetic Security L083,US0000000088,BANK,Banks,FIN,Financials,DE,Germany,EQ,Equity,EUR,Euro
00000089A,L084,L084,Synthetic Security L084,US0000000089,INSR,Insurance,FIN,Financials,FR,France,EQ,Equity,EUR,Euro
00000090A,L085,L085,Synthetic Security L085,US0000000090,RETL,Retail,CONS,Consumer,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000091A,L086,L086,Synthetic Security L086,US0000000091,AUTO,Automotive,CONS,Consumer,US,United States,EQ,Equity,USD,US Dollar
00000092A,L087,L087,Synthetic Security L087,US0000000092,MACH,Machinery,INDU,Industrials,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000093A,L088,L088,Synthetic Security L088,US0000000093,TRAN,Transportation,INDU,Industrials,GB,United Kingdom,EQ,Equity,GBP,Pound Sterling
00000094A,L089,L089,Synthetic Security L089,US0000000094,OILG,Oil & Gas,ENER,Energy,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000095A,L090,L090,Synthetic Security L090,US0000000095,POWR,Power Producers,UTIL,Utilities,DE,Germany,EQ,Equity,EUR,Euro
00000096A,L091,L091,Synthetic Security L091,US0000000096,SOFT,Software,TECH,Technology,FR,France,EQ,Equity,EUR,Euro
00000097A,L092,L092,Synthetic Security L092,US0000000097,SEMI,Semiconductors,TECH,Technology,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000098A,L093,L093,Synthetic Security L093,US0000000098,PHAR,Pharmaceuticals,HLTH,Health Care,US,United States,EQ,Equity,USD,US Dollar
00000099A,L094,L094,Synthetic Security L094,US0000000099,MEDD,Medical Devices,HLTH,Health Care,CA,Canada,EQ,Equity,CAD,Canadian Dollar
00000100A,L095,L095,Synthetic Security L095,US0000000100,BANK,Banks,FIN,Financials,GB,United Kingdom,ETF,Exchange Traded Fund,GBP,Pound Sterling
00000101A,L096,L096,Synthetic Security L096,US0000000101,INSR,Insurance,FIN,Financials,JP,Japan,EQ,Equity,JPY,Japanese Yen
00000102A,L097,L097,Synthetic Security L097,US0000000102,RETL,Retail,CONS,Consumer,DE,Germany,EQ,Equity,EUR,Euro
00000103A,L098,L098,Synthetic Security L098,US0000000103,AUTO,Automotive,CONS,Consumer,FR,France,EQ,Equity,EUR,Euro
00000104A,L099,L099,Synthetic Security L099,US0000000104,MACH,Machinery,INDU,Industrials,CH,Switzerland,EQ,Equity,CHF,Swiss Franc
00000105A,L100,L100,Synthetic Security L100,US0000000105,TRAN,Transportation,INDU,Industrials,US,United States,EQ,Equity,USD,US Dollar
